fecha,maxima,minima,tmedia
1993-11-03,24.5,16.4,20.4
1994-11-03,24.6,17.2,20.9
1995-11-03,26,20.8,23.4
1996-11-03,29.2,20.2,24.7
1997-11-03,27.2,22,24.6
1998-11-03,28,19.4,23.7
1999-11-03,23.8,20.5,22.2
2000-11-03,25.4,20.2,22.8
2001-11-03,24.2,22,23.1
2002-11-03,26,21.2,23.6
2003-11-03,23.2,17.8,20.5
2004-11-03,25.3,20.4,22.8
2005-11-03,25,19.5,22.2
2006-11-03,24.5,19.9,22.2
2007-11-03,23.6,18.2,20.9
2008-11-03,21.1,15.3,18.2
2009-11-03,25.9,21.4,23.6
2010-11-03,25.8,20.5,23.2
2011-11-03,24.7,16.9,20.8
2012-11-03,27.7,22.7,25.2
2014-11-03,26.6,22.6,24.6
2015-11-03,24.6,18.1,21.4
2016-11-03,25.9,20.7,23.3
2017-11-03,24.5,18.8,21.6
2018-11-03,24.4,19.7,22
1951-11-04,22.6,16.4,19.5
1952-11-04,23.5,18,20.8
1953-11-04,23.6,17.7,20.6
1954-11-04,23.5,19,21.2
1955-11-04,25.5,18,21.8
1956-11-04,24,17,20.5
1957-11-04,23,13.6,18.3
1958-11-04,23,17.5,20.2
1961-11-04,23,17.4,20.2
1962-11-04,24,16,20
1963-11-04,24.8,14.8,19.8
1964-11-04,26,18.2,22.1
1965-11-04,19.4,14.2,16.8
1966-11-04,22.8,19.2,21
1967-11-04,23.6,19,21.3
1968-11-04,24.8,17.5,21.2
1969-11-04,26.8,19.4,23.1
1970-11-04,26,18.8,22.4
1971-11-04,25.4,17,21.2
1972-11-04,21.8,17.8,19.8
1973-11-04,23,16.8,19.9
1974-11-04,21.6,16.4,19
1975-11-04,24,19.6,21.8
1976-11-04,22.4,19,20.7
1977-11-04,23.8,18.4,21.1
1978-11-04,21.8,18.4,20.1
1979-11-04,24,19.8,21.9
1980-11-04,24,18,21
1981-11-04,23.4,17,20.2
1982-11-04,26.6,17,21.8
1983-11-04,24.4,17.4,20.9
1984-11-04,25.2,18.6,21.9
1985-11-04,25,18,21.5
1986-11-04,24,18.6,21.3
1987-11-04,25,17,21
1988-11-04,25.4,18.8,22.1
1989-11-04,24.5,20.4,22.4
1990-11-04,25,19.8,22.4
1991-11-04,31,20.6,25.8
1992-11-04,22.8,17,19.9
1993-11-04,23.2,17,20.1
1994-11-04,24.2,16.8,20.5
1995-11-04,25.6,20.8,23.2
1996-11-04,29.4,20.6,25
1997-11-04,27.5,21.4,24.4
1998-11-04,26.6,19.8,23.2
1999-11-04,24.8,19,21.9
2000-11-04,24.6,20,22.3
2001-11-04,24.9,20.8,22.8
2002-11-04,26.1,21.3,23.7
2003-11-04,23.7,16.7,20.2
2004-11-04,25.3,21.2,23.2
2005-11-04,25,20.4,22.7
2006-11-04,24.8,20.6,22.7
2007-11-04,23.1,17.2,20.2
2008-11-04,21.5,15.7,18.6
2009-11-04,25.7,21,23.4
2010-11-04,27.1,20.8,24
2011-11-04,26.6,19.7,23.2
2012-11-04,26.8,23.5,25.2
2014-11-04,26.7,21.3,24
2015-11-04,24.9,19.1,22
2016-11-04,26.7,19.3,23
2017-11-04,24.1,19.8,22
2018-11-04,24.5,18.1,21.3
1951-11-05,27.4,12.8,20.1
1952-11-05,23.4,17.2,20.3
1953-11-05,22.4,18.6,20.5
1954-11-05,25.7,19,22.4
1955-11-05,24,18.8,21.4
1956-11-05,22.5,19.8,21.2
1957-11-05,24.5,14.6,19.6
1958-11-05,24.5,17.4,21
1961-11-05,23.4,15.8,19.6
1962-11-05,23.5,18.6,21
1963-11-05,26.6,15.6,21.1
1964-11-05,26.5,18.7,22.6
1965-11-05,20.5,14,17.2
1966-11-05,23.4,18,20.7
1967-11-05,24,17.4,20.7
1968-11-05,24.2,17.8,21
1969-11-05,25.8,19,22.4
1970-11-05,25,20,22.5
1971-11-05,27.4,18.5,23
1972-11-05,23,18,20.5
1973-11-05,24.6,15,19.8
1974-11-05,21.4,17.2,19.3
1975-11-05,22.6,18.4,20.5
1976-11-05,21.8,19.4,20.6
1977-11-05,24.2,19,21.6
1978-11-05,26,19,22.5
1979-11-05,23.8,19.4,21.6
1980-11-05,22.6,15.2,18.9
1981-11-05,24.2,17.6,20.9
1982-11-05,22.4,17.8,20.1
1983-11-05,25.5,17,21.2
1984-11-05,24.5,18.4,21.4
1985-11-05,26,19.2,22.6
1986-11-05,24.4,19,21.7
1987-11-05,29,21,25
1988-11-05,27.4,19,23.2
1989-11-05,24.5,19.4,22
1990-11-05,24.5,20.6,22.6
1991-11-05,27,20,23.5
1992-11-05,23,17.6,20.3
1993-11-05,21.8,17.4,19.6
1994-11-05,23,17.8,20.4
1995-11-05,24.4,20,22.2
1996-11-05,25.8,20.8,23.3
1997-11-05,36.2,21,28.6
1998-11-05,25,19.6,22.3
1999-11-05,26.2,18.9,22.6
2000-11-05,24.2,19.7,22
2001-11-05,25.8,19.8,22.8
2002-11-05,25.9,21.7,23.8
2003-11-05,24.4,18.7,21.6
2004-11-05,24.6,19.1,21.8
2005-11-05,24.3,19.5,21.9
2006-11-05,24.4,21.1,22.8
2007-11-05,23.3,16.9,20.1
2008-11-05,22.3,17.2,19.8
2009-11-05,26.1,20.2,23.2
2010-11-05,26.4,20.3,23.4
2011-11-05,24,19.9,22
2012-11-05,28.8,22.7,25.8
2014-11-05,24.6,20.3,22.4
2015-11-05,24.9,19.8,22.4
2016-11-05,26.5,18.5,22.5
2017-11-05,24.9,19.7,22.3
2018-11-05,24,18.1,21
1951-11-06,22.4,19.4,20.9
1952-11-06,23,17.4,20.2
1953-11-06,23.4,18.8,21.1
1954-11-06,25.2,17.6,21.4
1955-11-06,24.5,17.2,20.8
1956-11-06,23,17.4,20.2
1957-11-06,21,17.4,19.2
1958-11-06,24,17.4,20.7
1961-11-06,26.1,15.4,20.8
1962-11-06,25.6,17,21.3
1963-11-06,25.2,16.2,20.7
1964-11-06,26,19,22.5
1965-11-06,22.3,11.4,16.8
1966-11-06,26,15.4,20.7
1967-11-06,23.7,15.2,19.4
1968-11-06,24.2,18.4,21.3
1969-11-06,24.4,18,21.2
1970-11-06,25.2,20,22.6
1971-11-06,27.6,20.6,24.1
1972-11-06,23,17.5,20.2
1973-11-06,23.4,18.4,20.9
1974-11-06,21.6,17.6,19.6
1975-11-06,23,18.6,20.8
1976-11-06,22.4,18,20.2
1977-11-06,23,17.6,20.3
1978-11-06,28.6,20.4,24.5
1979-11-06,24,18.4,21.2
1980-11-06,24.2,14.6,19.4
1981-11-06,24.4,17.8,21.1
1982-11-06,24.6,16,20.3
1983-11-06,25.3,17.4,21.4
1984-11-06,24.5,17,20.8
1985-11-06,25.6,19.6,22.6
1986-11-06,25.4,20,22.7
1987-11-06,25.6,20.2,22.9
1988-11-06,28,19.4,23.7
1989-11-06,24,19.2,21.6
1990-11-06,26.5,19,22.8
1991-11-06,24.8,19,21.9
1992-11-06,27.9,16.6,22.2
1993-11-06,21,17,19
1994-11-06,23.2,18.6,20.9
1995-11-06,25,20.4,22.7
1996-11-06,24.8,20,22.4
1997-11-06,27,20.6,23.8
1998-11-06,25.8,19,22.4
1999-11-06,33,20.7,26.8
2000-11-06,24.4,19.5,22
2001-11-06,24.6,20.7,22.6
2002-11-06,26.6,20.9,23.8
2003-11-06,25,17.8,21.4
2004-11-06,23.2,17.2,20.2
2005-11-06,24.8,20.5,22.6
2006-11-06,25.8,21,23.4
2007-11-06,23.6,18.2,20.9
2008-11-06,22.5,17.9,20.2
2009-11-06,25.5,20.8,23.2
2010-11-06,25.6,18.6,22.1
2011-11-06,23.9,18.9,21.4
2012-11-06,27,21.6,24.3
2014-11-06,24.9,19.9,22.4
2015-11-06,25.9,20.4,23.2
2016-11-06,24.3,16.6,20.4
2017-11-06,24.3,20.1,22.2
2018-11-06,22.8,18,20.4
1951-11-07,24.6,15.5,20
1952-11-07,26.4,18,22.2
1953-11-07,23,19,21
1954-11-07,28.4,17.7,23
1955-11-07,24.2,15.6,19.9
1956-11-07,24.5,17,20.8
1957-11-07,22.5,16.5,19.5
1958-11-07,22.6,17.4,20
1961-11-07,24.2,15,19.6
1962-11-07,23.4,16.2,19.8
1963-11-07,24,17.2,20.6
1964-11-07,24.3,16.4,20.4
1965-11-07,22.4,13.8,18.1
1966-11-07,22,15.4,18.7
1967-11-07,23,17,20
1968-11-07,26.6,17.6,22.1
1969-11-07,23.8,16,19.9
1970-11-07,23.5,19,21.2
1971-11-07,24,19.4,21.7
1972-11-07,22.7,17.6,20.2
1973-11-07,23.4,17.6,20.5
1974-11-07,23,17,20
1975-11-07,25.6,17.2,21.4
1976-11-07,22.4,19,20.7
1977-11-07,23.4,18,20.7
1978-11-07,27,19.4,23.2
1979-11-07,23.6,17,20.3
1980-11-07,23.4,16,19.7
1981-11-07,24.4,20.4,22.4
1982-11-07,26.4,16.4,21.4
1983-11-07,25,15.8,20.4
1984-11-07,24.8,16,20.4
1985-11-07,28.6,19.2,23.9
1986-11-07,25.2,18.8,22
1987-11-07,24.6,19.2,21.9
1988-11-07,26.7,20,23.4
1989-11-07,23.7,18.8,21.2
1990-11-07,27.5,20.6,24
1991-11-07,24.4,19.8,22.1
1992-11-07,23,17.8,20.4
1993-11-07,21.8,17,19.4
1994-11-07,23.4,16.6,20
1995-11-07,28.4,19.6,24
1996-11-07,27.2,19.4,23.3
1997-11-07,27,20.2,23.6
1998-11-07,25,19.5,22.2
1999-11-07,32.5,23.9,28.2
2001-11-07,24.3,20.8,22.6
2002-11-07,24.9,19.6,22.2
2003-11-07,25,17,21
2004-11-07,23.7,17.2,20.4
2005-11-07,24.6,20.4,22.5
2006-11-07,24,21,22.5
2007-11-07,24.5,19.2,21.8
2008-11-07,22.2,17.6,19.9
2009-11-07,25.4,19.9,22.6
2010-11-07,24.1,19.6,21.8
2011-11-07,23.3,18.6,21
2012-11-07,25.6,19.2,22.4
2014-11-07,25.3,20.4,22.8
2015-11-07,25.4,20.9,23.2
2016-11-07,24.7,17.2,21
2017-11-07,24.6,20.3,22.4
2018-11-07,22.8,18.9,20.8
1951-11-08,22.1,16.2,19.2
1952-11-08,21.8,18.2,20
1953-11-08,22.8,17.4,20.1
1954-11-08,23,15.4,19.2
1955-11-08,24.5,17.8,21.2
1956-11-08,25,16.5,20.8
1957-11-08,23,16.6,19.8
1958-11-08,23,14.6,18.8
1961-11-08,24,17.5,20.8
1962-11-08,24,16.6,20.3
1963-11-08,24.5,15.6,20
1964-11-08,26.6,18.6,22.6
1965-11-08,23.2,14,18.6
1966-11-08,23,15.6,19.3
1967-11-08,24,16,20
1968-11-08,24,19,21.5
1969-11-08,24.6,14.8,19.7
1970-11-08,24,17,20.5
1971-11-08,23.3,19,21.2
1972-11-08,22.8,18,20.4
1973-11-08,22.2,17.6,19.9
1974-11-08,23,17.6,20.3
1975-11-08,24,17.2,20.6
1976-11-08,23,17.4,20.2
1977-11-08,23,18.4,20.7
1978-11-08,25.2,21,23.1
1979-11-08,22.8,19,20.9
1980-11-08,24.6,17,20.8
1981-11-08,24.2,19.4,21.8
1982-11-08,21,18.2,19.6
1983-11-08,22.8,18.8,20.8
1984-11-08,23.6,18,20.8
1985-11-08,33.6,19.4,26.5
1986-11-08,23.6,16.6,20.1
1987-11-08,24,17.5,20.8
1988-11-08,26.8,18.4,22.6
1989-11-08,24,18.5,21.2
1990-11-08,25.6,19.2,22.4
1991-11-08,24.5,18.5,21.5
1992-11-08,23.5,18,20.8
1993-11-08,21.8,17.6,19.7
1994-11-08,23.4,17.8,20.6
1995-11-08,28.4,18.8,23.6
1996-11-08,26.2,22,24.1
1997-11-08,25.6,21.2,23.4
1998-11-08,29,21.6,25.3
1999-11-08,33.5,23.9,28.7
2000-11-08,23.9,16.8,20.4
2001-11-08,24.9,20.3,22.6
2002-11-08,26.7,17.8,22.2
2003-11-08,23.5,19.3,21.4
2004-11-08,24.1,16.6,20.4
2005-11-08,27.3,20.1,23.7
2006-11-08,23.8,20.4,22.1
2007-11-08,24.1,19.4,21.8
2008-11-08,21.5,17.4,19.4
2009-11-08,25.6,20.9,23.2
2010-11-08,24,19.6,21.8
2011-11-08,23.1,17.6,20.4
2012-11-08,23.8,18.2,21
2013-11-08,25.7,20.5,23.1
2014-11-08,25.4,20.4,22.9
2015-11-08,25.4,20.3,22.8
2016-11-08,23.7,20.1,21.9
2017-11-08,26.8,18.1,22.4
2018-11-08,23.3,17.5,20.4
1951-11-09,25.4,14.4,19.9
1952-11-09,23.6,18.6,21.1
1953-11-09,23,17.4,20.2
1954-11-09,22,17,19.5
1955-11-09,26,18,22
1956-11-09,27,17,22
1957-11-09,25.5,17.4,21.4
1958-11-09,23.6,18,20.8
1961-11-09,23.4,17.6,20.5
1962-11-09,24,17.2,20.6
1963-11-09,26.5,15.7,21.1
1964-11-09,23.7,18.2,21
1965-11-09,23.2,18.6,20.9
1966-11-09,23,15.9,19.4
1967-11-09,21.4,17.2,19.3
1968-11-09,23.4,18.6,21
1969-11-09,26.6,15.2,20.9
1970-11-09,20,15,17.5
1971-11-09,23.3,17.4,20.4
1972-11-09,23,18.2,20.6
1973-11-09,22.6,17.8,20.2
1974-11-09,22.4,14.8,18.6
1975-11-09,22,17.8,19.9
1976-11-09,23,17.4,20.2
1977-11-09,24,17,20.5
1978-11-09,23.6,18,20.8
1979-11-09,23,18.6,20.8
1980-11-09,24,15.8,19.9
1981-11-09,24.2,18.2,21.2
1982-11-09,22.4,18.4,20.4
1983-11-09,24.4,18.2,21.3
1984-11-09,24.6,16.5,20.6
1985-11-09,26.2,20,23.1
1986-11-09,22.4,17,19.7
1987-11-09,24,19.6,21.8
1988-11-09,25,17.4,21.2
1989-11-09,23.5,18.6,21
1990-11-09,26,19,22.5
1991-11-09,23.5,20,21.8
1992-11-09,23,18.6,20.8
1993-11-09,18,15,16.5
1994-11-09,23,17,20
1995-11-09,25.8,19.8,22.8
1996-11-09,27,22,24.5
1997-11-09,26.2,20.1,23.2
1998-11-09,32.2,23.9,28
1999-11-09,26.2,20.8,23.5
2000-11-09,24.5,16.5,20.5
2001-11-09,25.9,20.2,23
2002-11-09,27.9,18.8,23.4
2003-11-09,23.5,18.7,21.1
2004-11-09,22.5,20.7,21.6
2005-11-09,26,21.1,23.6
2006-11-09,24.4,20,22.2
2007-11-09,27.1,19.2,23.2
2008-11-09,24.1,16.5,20.3
2009-11-09,25.4,20.3,22.8
2010-11-09,23.9,17.8,20.8
2011-11-09,23.2,18.2,20.7
2012-11-09,24.7,17.9,21.3
2013-11-09,25.5,21.1,23.3
2014-11-09,25.9,19.8,22.8
2015-11-09,27.7,21.7,24.7
2016-11-09,24.2,19.3,21.8
2017-11-09,24.4,18.4,21.4
2018-11-09,23.5,18.8,21.2
1951-11-10,24,16.2,20.1
1952-11-10,23.2,15.6,19.4
1953-11-10,23,17.4,20.2
1954-11-10,23.2,17.8,20.5
1955-11-10,24.4,18,21.2
1956-11-10,25,16,20.5
1957-11-10,21.4,16,18.7
1958-11-10,23.5,16.6,20
1961-11-10,23,18.8,20.9
1962-11-10,24,15.5,19.8
1963-11-10,24.7,16.6,20.6
1964-11-10,24,18.6,21.3
1965-11-10,23,16.2,19.6
1966-11-10,23,16.7,19.8
1967-11-10,22.6,15.3,19
1968-11-10,24.2,18.4,21.3
1969-11-10,24.2,17.7,21
1970-11-10,24.2,13.4,18.8
1971-11-10,22.6,19.6,21.1
1972-11-10,22,18.2,20.1
1973-11-10,22.6,17,19.8
1974-11-10,23.4,17.6,20.5
1975-11-10,22.6,16.2,19.4
1976-11-10,25.4,19.6,22.5
1977-11-10,28.4,18,23.2
1978-11-10,23,18,20.5
1979-11-10,22.8,19,20.9
1980-11-10,23,19,21
1981-11-10,24,17.2,20.6
1982-11-10,22.6,19,20.8
1983-11-10,24.4,17.4,20.9
1984-11-10,23,17,20
1985-11-10,25.6,19.8,22.7
1986-11-10,22.2,16,19.1
1987-11-10,23,18,20.5
1988-11-10,23.6,15,19.3
1989-11-10,24,18.6,21.3
1990-11-10,25.2,19.8,22.5
1991-11-10,23.5,19,21.2
1992-11-10,23.5,18.4,21
1993-11-10,21,14.8,17.9
1994-11-10,24,18,21
1995-11-10,25.2,18.6,21.9
1996-11-10,25.6,20,22.8
1997-11-10,26,20.2,23.1
1998-11-10,31.8,23.5,27.6
1999-11-10,23.6,19.6,21.6
2000-11-10,24.2,17.4,20.8
2001-11-10,23.6,18.6,21.1
2002-11-10,26,17.6,21.8
2003-11-10,23.2,18.4,20.8
2004-11-10,23.1,20,21.6
2005-11-10,23.7,20,21.8
2006-11-10,25.5,20.3,22.9
2007-11-10,25.7,18.7,22.2
2008-11-10,24.3,16.8,20.6
2009-11-10,25.6,20.9,23.2
2010-11-10,24.7,18.2,21.4
2011-11-10,23.1,18.3,20.7
2012-11-10,24.8,19.1,22
2013-11-10,24.9,20.8,22.8
2014-11-10,25.2,19.6,22.4
2015-11-10,27.2,21.6,24.4
2016-11-10,24.3,19.1,21.7
2017-11-10,24.1,19.7,21.9
2018-11-10,23.5,18.4,21
1951-11-11,23.2,14.7,19
1952-11-11,24.2,15,19.6
1953-11-11,23.1,16.8,20
1954-11-11,23,18.4,20.7
1955-11-11,23.5,18,20.8
1956-11-11,24.2,16.4,20.3
1957-11-11,21.2,16.4,18.8
1958-11-11,22.7,16.2,19.4
1961-11-11,22.6,18,20.3
1962-11-11,23.5,18.2,20.8
1963-11-11,25.2,15.8,20.5
1964-11-11,23.4,19.2,21.3
1965-11-11,23.2,16,19.6
1966-11-11,22.4,17.5,20
1967-11-11,19.3,13.8,16.6
1968-11-11,23,18.2,20.6
1969-11-11,25.2,19,22.1
1970-11-11,23.2,17.2,20.2
1971-11-11,21.4,18,19.7
1972-11-11,22.2,19,20.6
1973-11-11,22.4,17,19.7
1974-11-11,22.6,17,19.8
1975-11-11,26.2,16,21.1
1976-11-11,21.8,19,20.4
1977-11-11,25,20,22.5
1978-11-11,22.8,18.8,20.8
1979-11-11,21.2,17.4,19.3
1980-11-11,22,18.2,20.1
1981-11-11,25,17.6,21.3
1982-11-11,23,19.4,21.2
1983-11-11,23.6,16,19.8
1984-11-11,22.5,18.1,20.3
1985-11-11,25.2,17,21.1
1986-11-11,25.2,16,20.6
1987-11-11,22.6,18,20.3
1988-11-11,24,17.2,20.6
1989-11-11,24,19,21.5
1990-11-11,25.6,20,22.8
1991-11-11,23.5,19,21.2
1992-11-11,23.5,17.8,20.6
1993-11-11,21.5,17,19.2
1994-11-11,24,18.6,21.3
1995-11-11,29,18,23.5
1996-11-11,23.6,17.4,20.5
1997-11-11,26,19.6,22.8
1998-11-11,26.2,21.4,23.8
1999-11-11,24.4,18.7,21.6
2000-11-11,22.2,16.9,19.6
2001-11-11,22.2,17.2,19.7
2002-11-11,24.4,19,21.7
2003-11-11,24.8,19.2,22
2004-11-11,22.5,19,20.8
2005-11-11,24,19,21.5
2006-11-11,26.1,20.1,23.1
2007-11-11,25.8,18.6,22.2
2008-11-11,24.1,18.1,21.1
2009-11-11,25.1,21.3,23.2
2010-11-11,24.5,19.5,22
2011-11-11,24.7,19.2,22
2012-11-11,25.1,19.3,22.2
2013-11-11,24.9,20.3,22.6
2014-11-11,25.6,19.4,22.5
2015-11-11,27.2,21.4,24.3
2016-11-11,23.5,19.8,21.6
2017-11-11,25.7,19.9,22.8
2018-11-11,23.8,18.1,21
1951-11-12,22.6,14.6,18.6
1952-11-12,23.6,15,19.3
1953-11-12,25.2,15.4,20.3
1954-11-12,22,18.3,20.2
1955-11-12,23.4,16.6,20
1956-11-12,22.4,19.7,21
1957-11-12,25,15,20
1958-11-12,22.4,15.5,19
1961-11-12,22.1,18.2,20.2
1962-11-12,23,19,21
1963-11-12,24.5,15.3,19.9
1964-11-12,23.6,18.2,20.9
1965-11-12,22,17.6,19.8
1966-11-12,23,17.6,20.3
1967-11-12,21,14.6,17.8
1968-11-12,23.8,14.7,19.2
1969-11-12,24.4,7,15.7
1970-11-12,23.2,16.4,19.8
1971-11-12,22,15.6,18.8
1972-11-12,22,17.8,19.9
1973-11-12,23,17,20
1974-11-12,22,18,20
1975-11-12,26,17,21.5
1976-11-12,22.2,18.2,20.2
1977-11-12,26,20,23
1978-11-12,23.4,19,21.2
1979-11-12,22,19,20.5
1980-11-12,25,19,22
1981-11-12,27.6,20.8,24.2
1982-11-12,23,18.8,20.9
1983-11-12,26,16,21
1984-11-12,24,18,21
1985-11-12,22.2,19,20.6
1986-11-12,20.6,16.8,18.7
1987-11-12,23.6,17.4,20.5
1988-11-12,23.5,17,20.2
1989-11-12,24.2,15.4,19.8
1990-11-12,25.6,19.8,22.7
1991-11-12,23.5,19,21.2
1992-11-12,24.5,17.8,21.2
1993-11-12,21.5,17.6,19.6
1994-11-12,24,19.2,21.6
1995-11-12,25,19.6,22.3
1996-11-12,28.2,17.4,22.8
1997-11-12,25.8,18.4,22.1
1998-11-12,25,20.4,22.7
1999-11-12,23.6,19.4,21.5
2000-11-12,25.3,18.8,22
2001-11-12,21.5,17.2,19.4
2002-11-12,24.8,19.3,22
2003-11-12,23.6,19.3,21.4
2004-11-12,24.1,16.3,20.2
2005-11-12,24.1,19.7,21.9
2006-11-12,26.1,22,24
2007-11-12,25.1,19,22
2008-11-12,22.3,18,20.2
2009-11-12,24.5,20.6,22.6
2010-11-12,24.1,20.1,22.1
2011-11-12,24.2,19.4,21.8
2012-11-12,23.6,19.1,21.4
2013-11-12,24.8,20.9,22.8
2014-11-12,27.5,19.9,23.7
2016-11-12,23.9,19.8,21.8
2017-11-12,25.5,19.4,22.4
2018-11-12,22.1,17,19.6
1951-11-13,22.4,15.5,19
1952-11-13,24.5,14.4,19.4
1953-11-13,23,17.4,20.2
1954-11-13,23.5,16.4,20
1955-11-13,23.2,17,20.1
